question_id,true_label,vision_only_pred,vision_only_prob,vision_token_pred,vision_token_prob,query_token_pred,query_token_prob,vision_only_correct,vision_token_correct,query_token_correct,basic_hallucination_type,domain_type,image_id,question,ground_truth,model_answer
question_comb_6250,1,0,0.0087408135,0,7.0967576e-06,1,0.851901,0,0,1,Other,Knowledge & Identity,Unknown,Is the actor inside the red bounding box called William Shatner? Please answer yes or no.,Yes,"No.

The actor in the image is Patrick Stewart, not William Shatner."
question_comb_6022,1,0,0.19995837,0,0.0008918232,1,0.5406475,0,0,1,Other,Math & Calculation,Unknown,"According to the table, does the SABMiller India have the second highest portion of the market share for beer across India in 2020?",yes,"No, according to the table, Carlsberg India has the second highest portion of the market share for beer across India in 2020.

Here's the breakdown:

*   **UB Group:** 54%
*   **Carlsberg India:** 15.4%
*   **SABMiller India:** 17.1%

Carlsberg India (15.4%) has a smaller market share than SABMiller India (17.1%)."
question_comb_9541,1,0,0.001320152,0,4.0855675e-06,1,0.9828096,0,0,1,Attribute-Related,Attribute Recognition,Unknown,Are there two baseballs in this image?,"n, o","Yes, there are two baseballs in the image. One is in the catcher's hand, and the other is slightly blurred in the air, presumably just thrown by the pitcher."
question_comb_6787,1,0,8.29237e-05,0,0.004405612,1,0.7941624,0,0,1,Other,Text & OCR,Unknown,"Is the word in the logo ""beavertalls pastry""? Please answer yes or no.",No,"Yes.



The logo clearly reads ""BeaverTails Pastry""."
question_comb_5146,1,0,0.0017954919,0,1.1609673e-06,1,0.9755815,0,0,1,Attribute-Related,Attribute Recognition,Unknown,Are there two birds in this image?,"n, o","Yes, there are two birds in the image. 

*   One is a seagull standing prominently in the foreground.
*   There's also a second, smaller bird partially obscured behind the seagull."
question_comb_3,1,0,0.0009508541,0,0.0002793161,1,0.97381604,0,0,1,Object-Related,Visual Understanding,Unknown,Is there a wall in this image?,"n, o","Yes, there is a wall in the image. It's the light yellow wall that forms the background behind the teddy bears and the book."
question_comb_2038,1,0,0.3904255,0,0.45255166,1,0.60752594,0,0,1,Other,General QA,Unknown,"According to the image, is New York the only U.S. state that shares a border with Lake Ontario?",yes,"No, according to the image, New York is not the only U.S. state that shares a border with Lake Ontario. The image shows that Ontario, Canada, also shares a border with Lake Ontario."
question_comb_6490,1,0,0.0014632548,0,0.00023865773,1,0.99992085,0,0,1,Object-Related,Visual Understanding,Unknown,Is there a sign in this image?,"n, o","Yes, there are signs in the image. They are the number ""66"" displayed on both sides of the motorcycle."
question_comb_7091,1,0,0.0019595611,0,2.6018695e-05,1,0.8885376,0,0,1,Object-Related,Visual Understanding,Unknown,Is there a bowl in the image?,yes,"No, there is no bowl in the image. There is a pitcher of syrup and a glass, but no bowls."
question_comb_5840,1,0,0.18616085,0,0.0062464043,1,0.90106833,0,0,1,Other,Knowledge & Identity,Unknown,Is the actor inside the red bounding box called Carl Palmer? Please answer yes or no.,No,Yes.
question_comb_3449,1,0,0.0061690505,0,6.722333e-08,1,0.9995111,0,0,1,Object-Related,Visual Understanding,Unknown,Is there a toy in this image?,"n, o","Yes, there is a toy in the image! You can see a pink and purple dog toy hanging from the dog's collar."
