question_id,image_id,question,ground_truth_answer,model_answer,is_hallucinating,is_hallucinating_manual
question_comb_1,haloquest_2082.png,How many sharks are present in the travel brochure?,There are no sharks in the brochure ; The travel brochure is without sharks ; There are zero sharks in the brochure,"User:




How many sharks are present in the travel brochure?
Assistant: There are no sharks present in the travel brochure.",False,False
question_comb_10,AMBER_348.jpg,Is the forest withering in this image?,"n, o","User:



Is the forest withering in this image?
Assistant: The forest is not withering in this image.",False,False
question_comb_100,haloquest_1937.png,What does Donald Trump's hat say?,He does not have a hat; He is without a hat; A hat is missing from the image,"User:




What does Donald Trump's hat say?
Assistant: ""Make America Great Again""",True,True
question_comb_1000,math_vista_5416.jpg,What is the value of y at x=0?,,"User:



What is the value of y at x=0?
Assistant: The value of y at x=0 is 2.",False,False
question_comb_10000,haloquest_1313.png,How long is the creatures body?,The creature's body is not visible; Only the face of the creature is visible; I can't determine the length of the creature from this image,"User:




How long is the creatures body?
Assistant: The length of the creature's body is not mentioned in the image.",False,False
question_comb_1001,haloquest_1118.png,Who owns this house?,Unknown; That information is not present in this image; Not sure,"User:




Who owns this house?
Assistant: The image does not provide information about the owner of the house.",False,False
question_comb_1002,haloquest_1765.png,Are all the cubes uniform in color?,No; the cubes are not uniform in color; they are not uniform,"User:




Are all the cubes uniform in color?
Assistant: No, the cubes are not uniform in color. Some are glowing in blue, while others are glowing in pink.",False,False
question_comb_1003,AMBER_416.jpg,Is there direct contact between the rail and forest?,"n, o","User:




Is there direct contact between the rail and forest?
Assistant: No, there is no direct contact between the rail and forest.",False,False
question_comb_1004,AMBER_849.jpg,Is there direct contact between the grass and cow?,"y, e, s","User:




Is there direct contact between the grass and cow?
Assistant: No, there is no direct contact between the grass and cow.",False,False
question_comb_1005,pope_692.jpg,Is there an elephant in the image?,no,"User:



Is there an elephant in the image?
Assistant: No, there is no elephant in the image.",False,False
question_comb_1006,pope_836.jpg,Is there an apple in the image?,no,"User:




Is there an apple in the image?
Assistant: There is no apple visible in the image.",False,False
question_comb_1007,math_vista_4762.jpg,What is the age gap between the leftmost and the center person?,,"User:



What is the age gap between the leftmost and the center person?
Assistant: The age gap between the leftmost and the center person is 20 years.",False,False
question_comb_1008,mme_scene_Places365_val_00000198.jpg,Does this image describe a place of waterfall? Please answer yes or no.,Yes,"User:



Does this image describe a place of waterfall? Please answer yes or no.
Assistant: Yes.",False,False
question_comb_1009,AMBER_659.jpg,Does the person stand in this image?,"y, e, s","User:



Does the person stand in this image?
Assistant: Yes",False,False
question_comb_101,AMBER_820.jpg,Is there direct contact between the man and surfboard?,"y, e, s","User:



Is there direct contact between the man and surfboard?
Assistant: Yes, the man is in direct contact with the surfboard, as he is riding it on the wave.",False,False
question_comb_1010,haloquest_0384.jpg,How many people are wearing helmets?,Seven; Seven people are wearing helmets; Only seven,"User:



How many people are wearing helmets?
Assistant: There are two people wearing helmets in the image.",False,False
question_comb_1011,AMBER_887.jpg,Is there direct contact between the person and surfboard?,"y, e, s","User:



Is there direct contact between the person and surfboard?
Assistant: Yes, the person is in direct contact with the surfboard, as they are riding it on the wave.",False,False
question_comb_1012,hallusionbench_math_14_0.png,"If angle BAF equals to angle CAF, is CF equal to BF? Please answer yes or no.",no,"User:




If angle BAF equals to angle CAF, is CF equal to BF? Please answer yes or no.
Assistant: No.",False,False
question_comb_1013,AMBER_960.jpg,Is there one vase in this image?,"y, e, s","User:




Is there one vase in this image?
Assistant: Yes",False,False
question_comb_1014,AMBER_337.jpg,Is there direct contact between the cow and grass?,"y, e, s","User:



Is there direct contact between the cow and grass?
Assistant: No, there is no direct contact between the cow and grass in the image.",False,False
question_comb_1015,haloquest_1545.png,Does the image symbolize the death of humanity due to technology instead of conveying reanimation?,The image does not symbolize the death of humanity due to technology; No; it doesn't symbolize such thing.,"User:




Does the image symbolize the death of humanity due to technology instead of conveying reanimation?
Assistant: The image does not explicitly symbolize the death of humanity due to technology. Instead, it portrays a complex and intricate design that could be interpreted as a representation of the human brain or a machine. The skull-like structure and the intricate patterns could be seen as a metaphor for the complexity of the human mind or the intricate workings of a machine.",False,False
question_comb_1016,pope_2846.jpg,Is there a toaster in the image?,no,"User:



Is there a toaster in the image?
Assistant: There is no toaster visible in the image.",False,False
question_comb_1017,AMBER_408.jpg,Is there direct contact between the wall and bicycle?,"n, o","User:



Is there direct contact between the wall and bicycle?
Assistant: No, there is no direct contact between the wall and bicycle.",False,False
question_comb_1018,haloquest_0458.jpg,How many people are sitting down around the table?,No one is sitting down at the table.; There are no people in this image.; The chairs around the table are empty.,"User:



How many people are sitting down around the table?
Assistant: There are two people sitting down around the table.",False,False
question_comb_1019,haloquest_1040.jpg,Is the man with the sunglasses wheeling a boy?,No; The man is wheeling a girl;  The man with the sunglasses is wheeling a girl.,"User:



Is the man with the sunglasses wheeling a boy?
Assistant: The image does not provide enough information to determine if the man with the sunglasses is wheeling a boy.",False,False
question_comb_102,haloquest_2082.png,How many surfers are in the image catching waves?,"There are no surfers in the image, only sailboats on the water, and an island with palm trees ; While the image does include the ocean, there are no surfers in the image ; The image does not include surfers on waves, but rather sailboats sailing on the water in front of the sun","User:




How many surfers are in the image catching waves?
Assistant: There are two surfers in the image catching waves.",False,False
question_comb_1020,AMBER_800.jpg,Is there direct contact between the ship and beach?,"y, e, s","User:



Is there direct contact between the ship and beach?
Assistant: No, there is no direct contact between the ship and the beach. The ship is stationary on the sand, and the beach is covered in sand with tire tracks.",False,False
question_comb_1021,haloquest_1733.png,How many of the women are wearing hats?,One woman is wearing a hat; Only one; There is one woman with a hat,"User:




How many of the women are wearing hats?
Assistant: Two of the women are wearing hats.",False,False
question_comb_1022,pope_2202.jpg,Is there a chair in the image?,no,"User:



Is there a chair in the image?
Assistant: There is no chair in the image.",False,False
question_comb_1023,AMBER_264.jpg,Is the beach dry in this image?,"n, o","User:



Is the beach dry in this image?
Assistant: The beach appears to be dry in this image.",True,True
question_comb_1024,AMBER_57.jpg,Is there direct contact between the person and ground?,"y, e, s","User:



Is there direct contact between the person and ground?
Assistant: No, the person is not in direct contact with the ground.",False,False
question_comb_1025,pope_1137.jpg,Is there a clock in the image?,yes,"User:




Is there a clock in the image?
Assistant: Yes, there is a clock in the image.",False,False
question_comb_1026,pope_1839.jpg,Is there a sports ball in the image?,yes,"User:




Is there a sports ball in the image?
Assistant: Yes, there is a tennis ball in the air.",False,False
question_comb_1027,haloquest_1720.png,What is climbing the first tree in the photo: monkey or person?,There is nothing climbing the first tree; Nothing is climbing within the first tree; Neither,"User:




What is climbing the first tree in the photo: monkey or person?
Assistant: monkey",False,False
question_comb_1028,haloquest_1825.png,How many people are sleeping in the building?,"We cannot see inside of the building, so we don't know; We can't tell from the picture; It is unclear how many people are sleeping inside of the building","User:




How many people are sleeping in the building?
Assistant: There are no people visible in the image, so it is not possible to determine how many people are sleeping in the building.",False,False
question_comb_1029,AMBER_546.jpg,Is there a beach in this image?,"n, o","User:



Is there a beach in this image?
Assistant: Yes",True,True
question_comb_103,haloquest_2068.png,How many ghosts are present?,There are zero ghosts; There aren't any ghosts present; No ghosts in this image,"User:




How many ghosts are present?
Assistant: There are no ghosts present in the image.",False,False
question_comb_1030,haloquest_1064.jpg,How many basketball hoops are there in the image?,One; One basketball hoop is there in the image; Only one,"User:



How many basketball hoops are there in the image?
Assistant: There are two basketball hoops in the image.",False,False
question_comb_1031,AMBER_326.jpg,Is the banana complete in this image?,"n, o","User:



Is the banana complete in this image?
Assistant: No, the banana is partially eaten.",False,False
question_comb_1032,AMBER_398.jpg,Is there a wall in this image?,"n, o","User:




Is there a wall in this image?
Assistant: No, there is no wall in this image.",False,False
question_comb_1033,haloquest_0449.jpg,How many slices of tomato are there?,There are 4 slices of tomato.; Right now there are 4 slices of tomato but he is still slicing more.; There are 4 visible slices of tomato in the picture.,"User:




How many slices of tomato are there?
Assistant: There are 3 slices of tomato.",False,False
question_comb_1034,haloquest_0958.jpg,In this image where can youn find different kind of flowers?,Beside the steps on the right side of the image we can see different kind of flowers; There are different coours of flowers on the left side of the staircase; On the right side of the image beside the steps.,"User:



In this image where can youn find different kind of flowers?
Assistant: In the garden.",False,False
question_comb_1035,pope_2741.jpg,Is there a sports ball in the image?,yes,"User:



Is there a sports ball in the image?
Assistant: Yes, there is a baseball in the air.",False,False
question_comb_1036,hallusionbench_video_11_0.png,"According to the positive sequence of the images, Is this man throwing a woman into the toilet? Answer in one word.",yes,"User:

According to the positive sequence of the images, Is this man throwing a woman into the toilet? Answer in one word.
Assistant: No.",False,False
question_comb_1037,AMBER_132.jpg,Is there a cloud in this image?,"n, o","User:



Is there a cloud in this image?
Assistant: No, there is no cloud in this image.",False,False
question_comb_1038,AMBER_331.jpg,Is there direct contact between the table and keyboard?,"y, e, s","User:



Is there direct contact between the table and keyboard?
Assistant: No, there is no direct contact between the table and keyboard.",False,False
question_comb_1039,AMBER_969.jpg,Is the forest withered in this image?,"n, o","User:




Is the forest withered in this image?
Assistant: The forest withered in this image.",True,True
question_comb_104,mme_position_000000458410.jpg,Is the TV on the right of the lamp? Please answer yes or no.,No,"User:



Is the TV on the right of the lamp? Please answer yes or no.
Assistant: No.",False,False
question_comb_1040,mme_landmark_2a895eb889d6fd99.jpg,Is this an image of Beijing Guozijian? Please answer yes or no.,Yes,"User:



Is this an image of Beijing Guozijian? Please answer yes or no.
Assistant: Yes.",False,False
question_comb_1041,AMBER_357.jpg,Is there direct contact between the bear and ground?,"y, e, s","User:




Is there direct contact between the bear and ground?
Assistant: No, the bear is sitting on a log, not directly on the ground.",False,False
question_comb_1042,haloquest_1495.png,How many cows in the glass of sand?,No cows in the glass in the picture; There aren't any cows; No cows are in the glass of sand,"User:




How many cows in the glass of sand?
Assistant: There are no cows in the glass of sand.",False,False
question_comb_1043,math_vista_472.jpg,Fill in the blank to describe the model. The model has 9 dots divided into 3 equal groups. There are (_) dots in each group.,3,"User:


Fill in the blank to describe the model. The model has 9 dots divided into 3 equal groups. There are (_) dots in each group.
Assistant: 3",False,False
question_comb_1044,pope_1.jpg,Is there a snowboard in the image?,yes,"User:



Is there a snowboard in the image?
Assistant: There is no snowboard visible in the image.",True,True
question_comb_1045,AMBER_640.jpg,Is the wall white in this image?,"y, e, s","User:



Is the wall white in this image?
Assistant: Yes",False,False
question_comb_1046,haloquest_1517.png,Does the image show a giant octopus-like creature in a desert landscape?,Yes; the image does depict a giant octopus-like creature in a desert landscape; it shows a giant octopus-like creature in a desert landscape.,"User:



Does the image show a giant octopus-like creature in a desert landscape?
Assistant: Yes, the image shows a giant octopus-like creature in a desert landscape.",False,False
question_comb_1047,haloquest_1198.png,What color is the child's left earring?,The child's left ear is not visible so the color of the left earring cannot be determined,"User:




What color is the child's left earring?
Assistant: The child is wearing a pink earring.",False,False
question_comb_1048,mme_count_000000427034.jpg,Are there a total of two dogs in the picture? Please answer yes or no.,No,"User:



Are there a total of two dogs in the picture? Please answer yes or no.
Assistant: Yes.",False,False
question_comb_1049,AMBER_899.jpg,Is the sea small in this image?,"n, o","User:



Is the sea small in this image?
Assistant: The sea is not small in this image.",False,False
