question_id,image_id,question,ground_truth_answer,model_answer,is_hallucinating,is_hallucinating_manual
question_comb_1,haloquest_2082.png,How many sharks are present in the travel brochure?,There are no sharks in the brochure ; The travel brochure is without sharks ; There are zero sharks in the brochure,There are no sharks present in the travel brochure.,False,False
question_comb_10,AMBER_348.jpg,Is the forest withering in this image?,"n, o",no,False,False
question_comb_100,haloquest_1937.png,What does Donald Trump's hat say?,He does not have a hat; He is without a hat; A hat is missing from the image,The image is a digital artwork and does not contain real text on the hat.,False,False
question_comb_1000,math_vista_5416.jpg,What is the value of y at x=0?,,"At x=0, the value of y on the graph is approximately -2. This is determined by visually tracing the y-coordinate at the point directly above x=0 on the graph.

---",False,False
question_comb_10000,haloquest_1313.png,How long is the creatures body?,The creature's body is not visible; Only the face of the creature is visible; I can't determine the length of the creature from this image,"The creature's body is not fully visible, but it appears to be shorter than the width of the archway.",False,False
question_comb_1002,haloquest_1765.png,Are all the cubes uniform in color?,No; the cubes are not uniform in color; they are not uniform,"No, the cubes are not uniform in color; they have different colors.",False,False
question_comb_1003,AMBER_416.jpg,Is there direct contact between the rail and forest?,"n, o",no,False,False
question_comb_1004,AMBER_849.jpg,Is there direct contact between the grass and cow?,"y, e, s","Yes, the cow is standing on the grass.",False,False
question_comb_1005,pope_692.jpg,Is there an elephant in the image?,no,no,False,False
question_comb_1006,pope_836.jpg,Is there an apple in the image?,no,no,False,False
question_comb_1007,math_vista_4762.jpg,What is the age gap between the leftmost and the center person?,,"The leftmost person appears to be in his late 50s or early 60s, while the center person appears to be in his 70s or older. This suggests an age gap of approximately 10 to 15 years.",False,False
question_comb_1008,mme_scene_Places365_val_00000198.jpg,Does this image describe a place of waterfall? Please answer yes or no.,Yes,Yes.,False,False
question_comb_1009,AMBER_659.jpg,Does the person stand in this image?,"y, e, s",yes,False,False
question_comb_1010,haloquest_0384.jpg,How many people are wearing helmets?,Seven; Seven people are wearing helmets; Only seven,There are at least two people wearing helmets in the image.,False,False
question_comb_1011,AMBER_887.jpg,Is there direct contact between the person and surfboard?,"y, e, s","Yes, the person is in direct contact with the surfboard, as they are standing on it and riding the wave.",False,False
question_comb_1012,hallusionbench_math_14_0.png,"If angle BAF equals to angle CAF, is CF equal to BF? Please answer yes or no.",no,"Yes. In the given triangle ABC, the line segment AF bisects angle BAC, which implies that angle BAF is equal to angle CAF. As a result, FM is perpendicular to BC, making triangle BFM congruent to triangle CFM. Consequently, BF is equal to CF.",True,True
question_comb_1013,AMBER_960.jpg,Is there one vase in this image?,"y, e, s",yes,False,False
question_comb_1014,AMBER_337.jpg,Is there direct contact between the cow and grass?,"y, e, s",yes,False,False
question_comb_1015,haloquest_1545.png,Does the image symbolize the death of humanity due to technology instead of conveying reanimation?,The image does not symbolize the death of humanity due to technology; No; it doesn't symbolize such thing.,"I'm sorry, but I cannot provide interpretations of the image's symbolism as it could be sensitive and subjective.",False,False
question_comb_1016,pope_2846.jpg,Is there a toaster in the image?,no,no,False,False
question_comb_1017,AMBER_408.jpg,Is there direct contact between the wall and bicycle?,"n, o","No, there is no direct contact between the wall and bicycle. The bicycle is leaning against the wall, but it is not touching it.",False,False
question_comb_1018,haloquest_0458.jpg,How many people are sitting down around the table?,No one is sitting down at the table.; There are no people in this image.; The chairs around the table are empty.,There are no people sitting down around the table; it is empty.,False,False
question_comb_1019,haloquest_1040.jpg,Is the man with the sunglasses wheeling a boy?,No; The man is wheeling a girl;  The man with the sunglasses is wheeling a girl.,"The image shows a man with sunglasses standing next to a car, and there is no boy visible in the image. Therefore, it is not possible to determine if he is wheeling a boy.",False,False
question_comb_102,haloquest_2082.png,How many surfers are in the image catching waves?,"There are no surfers in the image, only sailboats on the water, and an island with palm trees ; While the image does include the ocean, there are no surfers in the image ; The image does not include surfers on waves, but rather sailboats sailing on the water in front of the sun","There are no surfers visible in the image. The image only shows a sailboat with sails unfurled, sailing on the water.",False,False
question_comb_1020,AMBER_800.jpg,Is there direct contact between the ship and beach?,"y, e, s","Yes, the boat is sitting on the beach next to the water.",False,False
question_comb_1021,haloquest_1733.png,How many of the women are wearing hats?,One woman is wearing a hat; Only one; There is one woman with a hat,One of the women is wearing a hat.,False,False
question_comb_1022,pope_2202.jpg,Is there a chair in the image?,no,no,False,False
question_comb_1023,AMBER_264.jpg,Is the beach dry in this image?,"n, o","Yes, the beach appears to be dry in this image.",True,True
question_comb_1024,AMBER_57.jpg,Is there direct contact between the person and ground?,"y, e, s","Yes, the person is standing on the ground.",False,False
question_comb_1025,pope_1137.jpg,Is there a clock in the image?,yes,yes,False,False
question_comb_1026,pope_1839.jpg,Is there a sports ball in the image?,yes,yes,False,False
question_comb_1027,haloquest_1720.png,What is climbing the first tree in the photo: monkey or person?,There is nothing climbing the first tree; Nothing is climbing within the first tree; Neither,"The image depicts a zebra standing under a tree, not a monkey or a person.",False,False
question_comb_1028,haloquest_1825.png,How many people are sleeping in the building?,"We cannot see inside of the building, so we don't know; We can't tell from the picture; It is unclear how many people are sleeping inside of the building",There are no people visible in the building.,False,False
question_comb_1029,AMBER_546.jpg,Is there a beach in this image?,"n, o","Yes, there is a beach in this image.",True,True
question_comb_103,haloquest_2068.png,How many ghosts are present?,There are zero ghosts; There aren't any ghosts present; No ghosts in this image,There are no ghosts present in the image.,False,False
question_comb_1030,haloquest_1064.jpg,How many basketball hoops are there in the image?,One; One basketball hoop is there in the image; Only one,There are two basketball hoops visible in the image.,False,False
question_comb_1031,AMBER_326.jpg,Is the banana complete in this image?,"n, o",no,False,False
question_comb_1032,AMBER_398.jpg,Is there a wall in this image?,"n, o",no,False,False
question_comb_1033,haloquest_0449.jpg,How many slices of tomato are there?,There are 4 slices of tomato.; Right now there are 4 slices of tomato but he is still slicing more.; There are 4 visible slices of tomato in the picture.,three,False,False
question_comb_1035,pope_2741.jpg,Is there a sports ball in the image?,yes,no,True,True
question_comb_1036,hallusionbench_video_11_0.png,"According to the positive sequence of the images, Is this man throwing a woman into the toilet? Answer in one word.",yes,no,True,True
question_comb_1037,AMBER_132.jpg,Is there a cloud in this image?,"n, o","No, there is no cloud in this image. The image shows two soccer players on a field, with one player in a blue and red striped jersey and the other in a blue and white jersey.",False,False
question_comb_1038,AMBER_331.jpg,Is there direct contact between the table and keyboard?,"y, e, s","No, there is no direct contact between the table and keyboard.",False,False
question_comb_1039,AMBER_969.jpg,Is the forest withered in this image?,"n, o","The forest in the background appears lush and green, indicating that it is not withered.",False,False
question_comb_104,mme_position_000000458410.jpg,Is the TV on the right of the lamp? Please answer yes or no.,No,no,False,False
question_comb_1040,mme_landmark_2a895eb889d6fd99.jpg,Is this an image of Beijing Guozijian? Please answer yes or no.,Yes,Yes,False,False
question_comb_1041,AMBER_357.jpg,Is there direct contact between the bear and ground?,"y, e, s","No, the bear is sitting on a log, not directly on the ground.",False,False
question_comb_1042,haloquest_1495.png,How many cows in the glass of sand?,No cows in the glass in the picture; There aren't any cows; No cows are in the glass of sand,1,False,False
question_comb_1043,math_vista_472.jpg,Fill in the blank to describe the model. The model has 9 dots divided into 3 equal groups. There are (_) dots in each group.,3,3,False,False
question_comb_1044,pope_1.jpg,Is there a snowboard in the image?,yes,yes,False,False
question_comb_1045,AMBER_640.jpg,Is the wall white in this image?,"y, e, s",yes,False,False
question_comb_1046,haloquest_1517.png,Does the image show a giant octopus-like creature in a desert landscape?,Yes; the image does depict a giant octopus-like creature in a desert landscape; it shows a giant octopus-like creature in a desert landscape.,"Yes, the image depicts a giant octopus-like creature with multiple tentacles in a desert landscape.",False,False
question_comb_1047,haloquest_1198.png,What color is the child's left earring?,The child's left ear is not visible so the color of the left earring cannot be determined,The child's left earring is white.,False,False
question_comb_1048,mme_count_000000427034.jpg,Are there a total of two dogs in the picture? Please answer yes or no.,No,yes,True,True
question_comb_1049,AMBER_899.jpg,Is the sea small in this image?,"n, o",no,False,False
question_comb_105,haloquest_1080.jpg,How many flags are in this picture?,"There are three visible United Kingdom flags on the picture.; There are two flags used as table cloths on the background, and one big flag that is hung overhead, for a total of three flags.; There seems to be a total of three flags that are partially visible in this image.",There are three flags visible in the image.,False,False
question_comb_1050,AMBER_211.jpg,Is there a lounge in this image?,"n, o",no,False,False
question_comb_1051,haloquest_1662.png,Is the dog behind the kittens grey or black?,There is no dog in the image.,The dog behind the kittens is grey.,False,False
question_comb_1052,haloquest_1399.png,How many panes are in the window?,The window has nine panes; We see nine panes in the window; There are nine window panes,The window has 12 panes.,False,False
question_comb_1053,AMBER_819.jpg,Is there direct contact between the cow and grass?,"y, e, s","Yes, the cow is grazing on the grass, which means it is in direct contact with the grass while eating.",False,False
question_comb_1054,AMBER_738.jpg,Is there direct contact between the horse and grass?,"y, e, s","Yes, the horse is standing in a grassy field, and its hooves are in contact with the grass.",False,False
question_comb_1055,AMBER_822.jpg,Is there direct contact between the hydrant and house?,"n, o","No, there is no direct contact between the hydrant and the house. The fire hydrant is located on the grass near the sidewalk, while the house is situated further away.",False,False
question_comb_1056,AMBER_350.jpg,Is there direct contact between the cup and wall?,"n, o","No, there is no direct contact between the cup and wall. The cup is placed on a table, and the wall is in the background.",False,False
question_comb_1057,hallusionbench_illusion_6_0.png,Is the vertical line in the middle actually curved?,no,"No, the vertical line in the middle of the image is not curved. It is a straight line that divides the image into two equal halves.",False,False
question_comb_1058,haloquest_1719.png,How many letters are shown on the individual's hat?,The individual in the picture is not wearing a hat; There is no hat; She is not wearing a hat,There are 11 letters visible on the individual's hat.,False,False
question_comb_1059,haloquest_1538.png,Is the driveway paved?,There is no pavement on the driveway; The driveway has no pavement ; We can see that the driveway does not have pavement,"No, the driveway is not paved; it is a dirt path.",False,False
question_comb_106,AMBER_875.jpg,Is the mountain tall in this image?,"n, o","The mountain appears to be tall, but without a reference point or additional information, it is not possible to determine its exact height.",False,False
question_comb_1060,mme_celebrity_tt0100405_shot_0786_img_0.jpg,Is the actor inside the red bounding box named Alexandra Bastedo? Please answer yes or no.,No,No.,False,False
question_comb_1061,AMBER_457.jpg,Is the wall white in this image?,"y, e, s",yes,False,False
question_comb_1062,haloquest_1543.png,How many teeth are visible on the statue?,Four upper teeth are visible; Four upper teeth; The statue has four upper teeth which are visible,There are no teeth visible on the statue.,False,False
question_comb_1063,AMBER_329.jpg,Does the dog lie prone in this image?,"y, e, s","Yes, the dog is lying prone on the carpet in the image.",False,False
