model,probe_dir,embedding_type,layer_name,auroc,status
Gemma3-12B,query_token_layer0,query_token_representation,layer_0,0.716453505550631,Success
Gemma3-12B,query_token_layer_3n_4,query_token_representation,layer_36,0.931452080959014,Success
Gemma3-12B,query_token_layer_n,query_token_representation,layer_47,0.9348935249672872,Success
Gemma3-12B,query_token_layer_n_2,query_token_representation,layer_24,0.924728799966232,Success
Gemma3-12B,query_token_layer_n_4,query_token_representation,layer_12,0.8119222489552995,Success
Gemma3-12B,vision_only,vision_only_representation,,0.673587807606264,Success
Gemma3-12B,vision_token_layer0,vision_token_representation,layer_0,0.6538427039804146,Success
Gemma3-12B,vision_token_layer_3n_4,vision_token_representation,layer_36,0.5994694715292728,Success
Gemma3-12B,vision_token_layer_n,vision_token_representation,layer_47,0.5955716305770125,Success
Gemma3-12B,vision_token_layer_n_2,vision_token_representation,layer_24,0.6146281815879447,Success
Gemma3-12B,vision_token_layer_n_4,vision_token_representation,layer_12,0.6697532818369845,Success
FastVLM-7B,query_token_layer0,query_token_representation,layer_0,0.6715451146277901,Success
FastVLM-7B,query_token_layer_3n_4,query_token_representation,layer_21,0.6475148241870302,Success
FastVLM-7B,query_token_layer_n,query_token_representation,layer_27,0.6136174793216754,Success
FastVLM-7B,query_token_layer_n_2,query_token_representation,layer_14,0.6139038914277801,Success
FastVLM-7B,query_token_layer_n_4,query_token_representation,layer_7,0.66226347395853,Success
FastVLM-7B,vision_only,vision_only_representation,,0.682981140864398,Success
FastVLM-7B,vision_token_layer0,vision_token_representation,layer_0,0.6934650829021415,Success
FastVLM-7B,vision_token_layer_3n_4,vision_token_representation,layer_21,0.687931978698493,Success
FastVLM-7B,vision_token_layer_n,vision_token_representation,layer_27,0.7028474399164054,Success
FastVLM-7B,vision_token_layer_n_2,vision_token_representation,layer_14,0.7093058755397766,Success
FastVLM-7B,vision_token_layer_n_4,vision_token_representation,layer_7,0.6957028741926956,Success
LLaVA-Next-8B,query_token_layer0,query_token_representation,layer_0,0.4996255446623093,Success
LLaVA-Next-8B,query_token_layer_3n_4,query_token_representation,layer_24,0.9052819478485838,Success
