model,probe_dir,embedding_type,layer_name,auroc,status
Gemma3-12B,query_token_layer0,query_token_representation,layer_0,0.716453505550631,Success
Gemma3-12B,query_token_layer_3n_4,query_token_representation,layer_36,0.9314520809590139,Success
Gemma3-12B,query_token_layer_n,query_token_representation,layer_47,0.9348935249672871,Success
Gemma3-12B,query_token_layer_n_2,query_token_representation,layer_24,0.9247287999662319,Success
Gemma3-12B,query_token_layer_n_4,query_token_representation,layer_12,0.8119222489552995,Success
Gemma3-12B,vision_only,vision_only_representation,N/A,0.673587807606264,Success
Gemma3-12B,vision_token_layer0,vision_token_representation,layer_0,0.6538427039804146,Success
Gemma3-12B,vision_token_layer_3n_4,vision_token_representation,layer_36,0.5994694715292728,Success
Gemma3-12B,vision_token_layer_n,vision_token_representation,layer_47,0.5955716305770125,Success
Gemma3-12B,vision_token_layer_n_2,vision_token_representation,layer_24,0.6146281815879447,Success
Gemma3-12B,vision_token_layer_n_4,vision_token_representation,layer_12,0.6697532818369845,Success
FastVLM-7B,query_token_layer0,query_token_representation,layer_0,0.6715451146277901,Success
FastVLM-7B,query_token_layer_3n_4,query_token_representation,layer_21,0.6475148241870302,Success
FastVLM-7B,query_token_layer_n,query_token_representation,layer_27,0.6136174793216754,Success
FastVLM-7B,query_token_layer_n_2,query_token_representation,layer_14,0.6139038914277801,Success
FastVLM-7B,query_token_layer_n_4,query_token_representation,layer_7,0.66226347395853,Success
FastVLM-7B,vision_only,vision_only_representation,N/A,0.682981140864398,Success
FastVLM-7B,vision_token_layer0,vision_token_representation,layer_0,0.6934650829021415,Success
FastVLM-7B,vision_token_layer_3n_4,vision_token_representation,layer_21,0.687931978698493,Success
FastVLM-7B,vision_token_layer_n,vision_token_representation,layer_27,0.7028474399164054,Success
FastVLM-7B,vision_token_layer_n_2,vision_token_representation,layer_14,0.7093058755397766,Success
FastVLM-7B,vision_token_layer_n_4,vision_token_representation,layer_7,0.6957028741926956,Success
LLaVA-Next-8B,query_token_layer0,query_token_representation,layer_0,0.49962554466230935,Success
LLaVA-Next-8B,query_token_layer_3n_4,query_token_representation,layer_24,0.9052819478485838,Success
LLaVA-Next-8B,query_token_layer_n,query_token_representation,layer_31,0.9026118259803924,Success
LLaVA-Next-8B,query_token_layer_n_2,query_token_representation,layer_16,0.9048947269880173,Success
LLaVA-Next-8B,query_token_layer_n_4,query_token_representation,layer_8,0.8453222869008714,Success
LLaVA-Next-8B,vision_only,vision_only_representation,N/A,,all input arrays must have the same shape
LLaVA-Next-8B,vision_token_layer0,vision_token_representation,layer_0,0.603717745778867,Success
LLaVA-Next-8B,vision_token_layer_3n_4,vision_token_representation,layer_24,0.6193959354575164,Success
LLaVA-Next-8B,vision_token_layer_n,vision_token_representation,layer_31,0.6270329095179739,Success
LLaVA-Next-8B,vision_token_layer_n_2,vision_token_representation,layer_16,0.6191895595043573,Success
LLaVA-Next-8B,vision_token_layer_n_4,vision_token_representation,layer_8,0.6184863919526143,Success
Molmo-V1,query_token_layer0,query_token_representation,layer_0,0.7675404971232712,Success
Molmo-V1,query_token_layer_3n_4,query_token_representation,layer_24,0.9345488171089289,Success
Molmo-V1,query_token_layer_n,query_token_representation,layer_31,0.9193124158152854,Success
Molmo-V1,query_token_layer_n_2,query_token_representation,layer_16,0.9365232509040642,Success
Molmo-V1,query_token_layer_n_4,query_token_representation,layer_8,0.8587961379414465,Success
Molmo-V1,vision_only,vision_only_representation,N/A,0.6829547625843616,Success
Molmo-V1,vision_token_layer0,vision_token_representation,layer_0,0.6935582033360146,Success
Molmo-V1,vision_token_layer_3n_4,vision_token_representation,layer_24,0.6861865120459333,Success
Molmo-V1,vision_token_layer_n,vision_token_representation,layer_31,0.6867149148776064,Success
Molmo-V1,vision_token_layer_n_2,vision_token_representation,layer_16,0.6930533899164699,Success
Molmo-V1,vision_token_layer_n_4,vision_token_representation,layer_8,0.6982289069374102,Success
Qwen2.5-VL-7B,query_token_layer0,query_token_representation,layer_0,0.8614042109615191,Success
Qwen2.5-VL-7B,query_token_layer_3n_4,query_token_representation,layer_21,0.921489802470982,Success
Qwen2.5-VL-7B,query_token_layer_n,query_token_representation,layer_27,0.9149978668097589,Success
Qwen2.5-VL-7B,query_token_layer_n_2,query_token_representation,layer_14,0.8794109755936647,Success
Qwen2.5-VL-7B,query_token_layer_n_4,query_token_representation,layer_7,0.8862547776863903,Success
Qwen2.5-VL-7B,vision_only,vision_only_representation,N/A,0.7873055388174648,Success
Qwen2.5-VL-7B,vision_token_layer0,vision_token_representation,layer_0,0.6542626419011344,Success
Qwen2.5-VL-7B,vision_token_layer_3n_4,vision_token_representation,layer_21,0.6624699264159326,Success
Qwen2.5-VL-7B,vision_token_layer_n,vision_token_representation,layer_27,0.6683416974916322,Success
Qwen2.5-VL-7B,vision_token_layer_n_2,vision_token_representation,layer_14,0.6539151738000255,Success
Qwen2.5-VL-7B,vision_token_layer_n_4,vision_token_representation,layer_7,0.659325120184378,Success
SmolVLM2-2.2B,query_token_layer0,query_token_representation,layer_0,0.5039686543571116,Success
SmolVLM2-2.2B,query_token_layer12,query_token_representation,layer_12,0.9054711936232469,Success
SmolVLM2-2.2B,query_token_layer18,query_token_representation,layer_18,0.9272147109272525,Success
SmolVLM2-2.2B,query_token_layer23,query_token_representation,layer_23,0.901446484826063,Success
SmolVLM2-2.2B,query_token_layer6,query_token_representation,layer_6,0.8970770412224351,Success
SmolVLM2-2.2B,vision_only,vision_only_representation,N/A,0.7237679234072131,Success
SmolVLM2-2.2B,vision_token_layer0,vision_token_representation,layer_0,0.6829000325115753,Success
SmolVLM2-2.2B,vision_token_layer12,vision_token_representation,layer_12,0.6844863731656184,Success
SmolVLM2-2.2B,vision_token_layer18,vision_token_representation,layer_18,0.6800945077859618,Success
SmolVLM2-2.2B,vision_token_layer23,vision_token_representation,layer_23,0.6893953407549412,Success
SmolVLM2-2.2B,vision_token_layer6,vision_token_representation,layer_6,0.686809829706611,Success
